c,Sex,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Country,Date
Duncan Tanner,M,134.1,140,202.5,160,225,UK,11/11/11
Gunnar Runarsson,M,113.1,125,200,227.5,255,Iceland,11/11/11
Stanislav Poliakov,M,125.3,140,340,290,300,Russia,11/11/11
Andrew Cairney,M,132.1,140,320,230,320,Scotland,11/11/11
Peter Bongers,M,111.2,125,325,185,285,Netherlands,11/11/11
Victor Malyugin,M,134.7,140,360,315,315,Russia,11/11/11
Shahid Shabazz,M,97.8,100,245,175,227.5,USA,11/11/11
Alexander Cordova,M,99.1,100,262.5,212.5,272.5,USA,11/11/11
Oleg Gevko,M,106,110,325,190,260,Russia,11/11/11
Andrev Sizov,M,92,100,310,210,320,Russia,11/11/11
Zak Kroeger,M,108.9,110,315,245,297.5,USA,11/11/11
Scott Smith #1,M,110,110,392.5,277.5,330,USA,11/11/11
Matt Levine,M,88.7,90,290,175,260,USA,11/11/11
Alexander Belousov,M,83.6,90,300,220,280,Russia,11/11/11
Prince Kennedy Nwampka,M,82.3,82.5,200,80,200,Nigeria,11/11/11
Mario Hernandez,M,80.5,82.5,210,140,210,Mexico,11/11/11
Tim O'Brien #1,M,79.6,82.5,215,145,215,USA,11/11/11
Justin Oon,M,80.3,82.5,160,150,210,England,11/11/11
Arram Eghoyan,M,81,82.5,250,170,260,England,11/11/11
Coert Hoppenbrouwers,M,82.2,82.5,230,150,250,Netherlands,11/11/11
Derrick Mirikitami,M,80.1,82.5,290,160,255,USA,11/11/11
Dirk Schumann,M,75,75,200,152.5,210,Germany,11/11/11
Kári Elíson,M,73,75,220,150,260,Iceland,11/11/11
Sergey Bakanov,M,47.5,56,160,110,92.5,Russia,11/11/11
Haidi Chaparro,F,50.5,52,110,45,120,Mexico,11/11/11
Martha Rodriguez,F,59.1,60,130,60,130,Mexico,11/11/11
Steve Soukup,M,55.7,56,147.5,102.5,147.5,USA,11/11/11
Jake Benedix,M,58.7,60,157.5,105,162.5,USA,11/11/11
Brenda Aguirre,F,59.4,60,165,90,182.5,Mexico,11/11/11
Gordon Santee,M,64.5,67.5,115,97.5,190,USA,11/11/11
Ellen Stein,F,59.3,60,167.5,87.5,180,USA,11/11/11
Brett Benedix,M,66.8,67.5,210,95,197.5,USA,11/11/11
Nona Hubbard,F,65.77,67.5,92.5,62.5,120,USA,12/9/06
Terry Wright,M,73.82,75,95,138.5,102.5,USA,12/9/06
Tom Roselli,M,70.31,75,187.5,140,217.5,USA,12/9/06
David Petro-Roy,M,72.8,75,190,107.5,217.5,USA,12/9/06
Bret Kernoff,M,81.19,82.5,145,132.5,170.5,USA,12/9/06
Michael Berby,M,81.65,82.5,140,155,200,USA,12/9/06
Drew Markey,M,78.58,82.5,167.5,147.5,210,USA,12/9/06
Michael Sullivan,M,80.74,82.5,220,117.5,212.5,USA,12/9/06
Greg Wright,M,79.83,82.5,187.5,152.5,262.5,USA,12/9/06
Jake Freedman,M,78.93,82.5,167.5,132.5,237.5,USA,12/9/06
Doug Parrish,M,80.97,82.5,210,137.5,217.5,USA,12/9/06
Robert Wells,M,88.9,90,200,132.5,220,USA,12/9/06
James van Allen,M,86.75,90,195,170,222.5,USA,12/9/06
Lenny Creatura,M,95.71,100,260,167.5,257.5,USA,12/9/06
Brian Richard,M,97.41,100,192.5,182.5,260,USA,12/9/06
Ray Cross #1,M,115.89,125,182.5,137.5,192.5,USA,12/9/06
Vincent Smith,M,136.3,140,227.5,160,272.5,USA,12/9/06
Scott Weech,M,138.8,140,375,235,345,USA,12/9/06
David Villeneuve,M,129.39,140,307.5,197.5,312.5,USA,12/9/06
Terry Perkins,M,125,125,242.67,142.88,222.26,USA,2/16/06
Drew Priddy,M,67.5,67.5,147.42,83.91,185.97,USA,2/16/06
Jordan Peachey,M,90,90,149.69,117.93,185.97,USA,2/16/06
Corey White,M,140,140,204.12,149.69,206.38,USA,2/16/06
Keith Cole,M,100,100,176.9,140.61,215.46,USA,2/16/06
Trey Manning,M,110,110,272.16,192.78,294.84,USA,2/16/06
Mark Franklin,M,82.5,82.5,151.95,136.08,204.12,USA,2/16/06
Donnly Nelson,M,82.5,82.5,142.88,120.2,215.46,USA,2/16/06
Michael Yartin,M,110,110,174.63,120.2,192.78,USA,2/16/06
Jason Spruill,M,125,125,158.76,158.76,124.74,USA,2/16/06
B. Simmons,M,,140+,206.38,142.88,249.48,Canada,2/16/06
Doug Parrish,M,82.5,82.5,206.38,136.08,226.8,USA,2/16/06
Kevin Webber,M,90,90,210.92,136.08,238.14,USA,2/16/06
Mike Golden,M,125,125,226.8,170.1,272.16,USA,2/16/06
Woody Leonard,M,100,100,231.33,147.42,238.14,USA,2/16/06
Patrick Green,M,140,140,233.6,154.22,263.08,USA,2/16/06
William Marrow,M,140,140,174.63,151.95,240.4,USA,2/16/06
Beau Moore #1,M,,140+,310.71,235.87,349.27,USA,2/16/06
Michael Wicker,M,75,75,127.01,122.47,188.24,USA,2/16/06
Gary Lindsey,M,90,90,183.71,127.01,206.38,USA,2/16/06
Lynn Corbin,M,110,110,235.87,165.56,263.08,USA,2/16/06
Bill Beekley,M,110,110,226.8,158.76,251.74,USA,2/16/06
Doug Parrish,M,82.5,82.5,206.38,136.08,226.8,USA,2/16/06
Jack Moore #3,M,82.5,82.5,165.56,113.4,192.78,USA,2/16/06
Kevin Webber,M,90,90,210.92,136.08,238.14,USA,2/16/06
Jordan Peachey,M,90,90,149.69,117.93,185.97,USA,2/16/06
Woody Leonard,M,100,100,231.33,147.42,238.14,USA,2/16/06
J. Jones,M,110,110,210.92,145.15,226.8,USA,2/16/06
Terry Perkins,M,125,125,242.67,142.88,222.26,USA,2/16/06
Nick Minneti,M,140,140,362.87,231.33,358.34,USA,2/16/06
Beau Moore #1,M,140,140,310.71,235.87,349.27,USA,2/16/06
Jack Moore #3,M,82.5,82.5,170.1,113.4,192.78,USA,2/16/06
Aaron Ellis,M,28.03,30,41,29,50,USA,11/1/08
Aaron Ellis,M,28.03,30,41,29,50,USA,11/1/08
Roman Dermeleva,M,37.38,40,55,22.5,80,Estonia,11/1/08
Alexander Vasquez,M,44,44,30,22.5,37.5,USA,11/1/08
Alexander Vasquez,M,44,44,30,22.5,37.5,USA,11/1/08
Patricia Azlin,F,47.36,48,70,43.5,97.5,USA,11/1/08
Patricia Azlin,F,47.36,48,70,43.5,97.5,USA,11/1/08
Daria Dermeleva,F,54.79,56,65,27.5,75,Estonia,11/1/08
Cyrus Cordero,M,54.88,56,62.5,62.5,92.5,USA,11/1/08
Jim Marchio,M,59.87,60,125,92.5,200,USA,11/1/08
Dan Carpenter,M,59.42,60,160,112.5,210,USA,11/1/08
Jerry Moylan,M,65.41,67.5,137.5,90,180,USA,11/1/08
Paul Griffith,M,67.13,67.5,135,70,167.5,USA,11/1/08
Justin Tripodi,M,65.95,67.5,140,140,217.5,USA,11/1/08
Lance Pototschnik,M,67.04,67.5,170,102.5,200,USA,11/1/08
Justin Tripodi,M,65.95,67.5,140,140,217.5,USA,11/1/08
Lance Pototschnik,M,67.04,67.5,170,102.5,200,USA,11/1/08
David Wilson Jr,M,64.86,67.5,167.5,140,217.5,USA,11/1/08
David Wilson Jr,M,64.86,67.5,167.5,140,217.5,USA,11/1/08
Connor Dantzler,M,63.96,67.5,62.5,40,91,USA,11/1/08
Ruth Douglas #2,F,72.57,75,102.5,70,147.5,USA,11/1/08
Ruth Douglas #2,F,72.57,75,102.5,70,147.5,USA,11/1/08
Matt Baker,M,74.93,75,185,165,230,USA,11/1/08
George Pluhar,M,74.84,75,192,150,222.5,USA,11/1/08
William Lotter,M,73.48,75,160,115,212.5,USA,11/1/08
Ed Abromaitis,M,74.03,75,130,107.5,172.5,USA,11/1/08
Rich Hutchinson,M,74.03,75,160,92.5,192.5,USA,11/1/08
David Ruhl,M,81.83,82.5,180,112.5,200,USA,11/1/08
Michael Jones #15,M,80.1,82.5,162.5,75,170,USA,11/1/08
Victoria Vasquez,F,80.74,82.5,20,57.5,92.5,USA,11/1/08
Victoria Vasquez,F,80.74,82.5,20,57.5,92.5,USA,11/1/08
Evan Miller #2,M,80.83,82.5,162.5,167.5,242.5,USA,11/1/08
Evan Miller #2,M,80.83,82.5,162.5,167.5,242.5,USA,11/1/08
Sergey Dermeleva,M,85.28,90,220,150,260,Estonia,11/1/08
Chuck Miller,M,89.72,90,217.5,145,260,USA,11/1/08
Vadim Snitkovsky,M,86,90,147.5,120,212.5,USA,11/1/08
Tom Hughes,M,89.36,90,160,90,175,USA,11/1/08
Tom Hughes,M,89.36,90,160,90,175,USA,11/1/08
Kevin Chung,M,89.58,90,130,92.5,175,USA,11/1/08
William Tazwell IV,M,87.54,90,185,182.5,227.5,USA,11/1/08
Stan Chikando,M,97.61,100,192.5,157.5,267.5,USA,11/1/08
James Card,M,98.7,100,185,160,212.5,USA,11/1/08
Art Martin,M,97.16,100,192.5,102.5,205,USA,11/1/08
Lenny Creatura,M,93.71,100,250,167.5,250,USA,11/1/08
Derek Willis,M,98.34,100,205,150,230,USA,11/1/08
Derek Willis,M,98.34,100,205,150,230,USA,11/1/08
Chris Kennedy #2,M,97.52,100,135,137.5,145,USA,11/1/08
Chris Kennedy #2,M,97.52,100,135,137.5,145,USA,11/1/08
Nick Arbia,M,105.6,110,197.5,157.5,242.5,USA,11/1/08
Tyler Waldron,M,104.24,110,195,125,205,USA,11/1/08
Gerald Burke,M,104.33,110,157.5,147.5,150,USA,11/1/08
Ira Brooks,M,107.77,110,125,120,182.5,USA,11/1/08
Ira Brooks,M,107.77,110,125,120,182.5,USA,11/1/08
Jim Perhach,M,116.57,125,62.5,62.5,270,USA,11/1/08
Darryl Crans,M,121.11,125,175,120,215,USA,11/1/08
Daniel Corridean,M,129.73,140,282.5,190,300,USA,11/1/08
Daniel Corridean,M,129.73,140,282.5,190,300,USA,11/1/08
Bradley Yonker,M,160.57,140+,235,160,277.5,USA,11/1/08
Kevin Prosser,M,152.41,140+,230,147.5,220,USA,11/1/08
Kevin Prosser,M,152.41,140+,230,147.5,220,USA,11/1/08
