Sex	WeightClassKg	Best3SquatKg	Best3BenchKg	Best3DeadliftKg	Country	Date
M	140	202.5	160	225	UK	11/11/11
M	125	200	227.5	255	Iceland	11/11/11
M	140	340	290	300	Russia	11/11/11
M	140	320	230	320	Scotland	11/11/11
M	125	325	185	285	Netherlands	11/11/11
M	140	360	315	315	Russia	11/11/11
M	100	245	175	227.5	USA	11/11/11
M	100	262.5	212.5	272.5	USA	11/11/11
M	110	325	190	260	Russia	11/11/11
M	100	310	210	320	Russia	11/11/11
M	110	315	245	297.5	USA	11/11/11
M	110	392.5	277.5	330	USA	11/11/11
M	90	290	175	260	USA	11/11/11
M	90	300	220	280	Russia	11/11/11
M	82.5	200	80	200	Nigeria	11/11/11
M	82.5	210	140	210	Mexico	11/11/11
M	82.5	215	145	215	USA	11/11/11
M	82.5	160	150	210	England	11/11/11
M	82.5	250	170	260	England	11/11/11
M	82.5	230	150	250	Netherlands	11/11/11
M	82.5	290	160	255	USA	11/11/11
M	75	200	152.5	210	Germany	11/11/11
M	75	220	150	260	Iceland	11/11/11
M	56	160	110	92.5	Russia	11/11/11
F	52	110	45	120	Mexico	11/11/11
F	60	130	60	130	Mexico	11/11/11
M	56	147.5	102.5	147.5	USA	11/11/11
M	60	157.5	105	162.5	USA	11/11/11
F	60	165	90	182.5	Mexico	11/11/11
M	67.5	115	97.5	190	USA	11/11/11
F	60	167.5	87.5	180	USA	11/11/11
M	67.5	210	95	197.5	USA	11/11/11
F	67.5	92.5	62.5	120	USA	12/9/06
M	75	95	138.5	102.5	USA	12/9/06
M	75	187.5	140	217.5	USA	12/9/06
M	75	190	107.5	217.5	USA	12/9/06
M	82.5	145	132.5	170.5	USA	12/9/06
M	82.5	140	155	200	USA	12/9/06
M	82.5	167.5	147.5	210	USA	12/9/06
M	82.5	220	117.5	212.5	USA	12/9/06
M	82.5	187.5	152.5	262.5	USA	12/9/06
M	82.5	167.5	132.5	237.5	USA	12/9/06
M	82.5	210	137.5	217.5	USA	12/9/06
M	90	200	132.5	220	USA	12/9/06
M	90	195	170	222.5	USA	12/9/06
M	100	260	167.5	257.5	USA	12/9/06
M	100	192.5	182.5	260	USA	12/9/06
M	125	182.5	137.5	192.5	USA	12/9/06
M	140	227.5	160	272.5	USA	12/9/06
M	140	375	235	345	USA	12/9/06
M	140	307.5	197.5	312.5	USA	12/9/06
M	125	242.67	142.88	222.26	USA	2/16/06
M	67.5	147.42	83.91	185.97	USA	2/16/06
M	90	149.69	117.93	185.97	USA	2/16/06
M	140	204.12	149.69	206.38	USA	2/16/06
M	100	176.9	140.61	215.46	USA	2/16/06
M	110	272.16	192.78	294.84	USA	2/16/06
M	82.5	151.95	136.08	204.12	USA	2/16/06
M	82.5	142.88	120.2	215.46	USA	2/16/06
M	110	174.63	120.2	192.78	USA	2/16/06
M	125	158.76	158.76	124.74	USA	2/16/06
M	140+	206.38	142.88	249.48	Canada	2/16/06
M	82.5	206.38	136.08	226.8	USA	2/16/06
M	90	210.92	136.08	238.14	USA	2/16/06
M	125	226.8	170.1	272.16	USA	2/16/06
M	100	231.33	147.42	238.14	USA	2/16/06
M	140	233.6	154.22	263.08	USA	2/16/06
M	140	174.63	151.95	240.4	USA	2/16/06
M	140+	310.71	235.87	349.27	USA	2/16/06
M	75	127.01	122.47	188.24	USA	2/16/06
M	90	183.71	127.01	206.38	USA	2/16/06
M	110	235.87	165.56	263.08	USA	2/16/06
M	110	226.8	158.76	251.74	USA	2/16/06
M	82.5	206.38	136.08	226.8	USA	2/16/06
M	82.5	165.56	113.4	192.78	USA	2/16/06
M	90	210.92	136.08	238.14	USA	2/16/06
M	90	149.69	117.93	185.97	USA	2/16/06
M	100	231.33	147.42	238.14	USA	2/16/06
M	110	210.92	145.15	226.8	USA	2/16/06
M	125	242.67	142.88	222.26	USA	2/16/06
M	140	362.87	231.33	358.34	USA	2/16/06
M	140	310.71	235.87	349.27	USA	2/16/06
M	82.5	170.1	113.4	192.78	USA	2/16/06
M	30	41	29	50	USA	11/1/08
M	30	41	29	50	USA	11/1/08
M	40	55	22.5	80	Estonia	11/1/08
M	44	30	22.5	37.5	USA	11/1/08
M	44	30	22.5	37.5	USA	11/1/08
F	48	70	43.5	97.5	USA	11/1/08
F	48	70	43.5	97.5	USA	11/1/08
F	56	65	27.5	75	Estonia	11/1/08
M	56	62.5	62.5	92.5	USA	11/1/08
M	60	125	92.5	200	USA	11/1/08
M	60	160	112.5	210	USA	11/1/08
M	67.5	137.5	90	180	USA	11/1/08
M	67.5	135	70	167.5	USA	11/1/08
M	67.5	140	140	217.5	USA	11/1/08
M	67.5	170	102.5	200	USA	11/1/08
M	67.5	140	140	217.5	USA	11/1/08
M	67.5	170	102.5	200	USA	11/1/08
M	67.5	167.5	140	217.5	USA	11/1/08
M	67.5	167.5	140	217.5	USA	11/1/08
M	67.5	62.5	40	91	USA	11/1/08
F	75	102.5	70	147.5	USA	11/1/08
F	75	102.5	70	147.5	USA	11/1/08
M	75	185	165	230	USA	11/1/08
M	75	192	150	222.5	USA	11/1/08
M	75	160	115	212.5	USA	11/1/08
M	75	130	107.5	172.5	USA	11/1/08
M	75	160	92.5	192.5	USA	11/1/08
M	82.5	180	112.5	200	USA	11/1/08
M	82.5	162.5	75	170	USA	11/1/08
F	82.5	20	57.5	92.5	USA	11/1/08
F	82.5	20	57.5	92.5	USA	11/1/08
M	82.5	162.5	167.5	242.5	USA	11/1/08
M	82.5	162.5	167.5	242.5	USA	11/1/08
M	90	220	150	260	Estonia	11/1/08
M	90	217.5	145	260	USA	11/1/08
M	90	147.5	120	212.5	USA	11/1/08
M	90	160	90	175	USA	11/1/08
M	90	160	90	175	USA	11/1/08
M	90	130	92.5	175	USA	11/1/08
M	90	185	182.5	227.5	USA	11/1/08
